post|is_original|is_repost|is_job|is_cert|is_share|date|own_chars|own_preview
142|1|0|1|0|1|10mo •  10 months ago • Visible to anyone on or off LinkedIn|645|Kwaku AmuzuKwaku Amuzu
143|1|0|1|0|1|10mo •  10 months ago • Visible to anyone on or off LinkedIn|231|Jobly GhanaJobly Ghana
144|1|0|0|0|1|10mo •  10 months ago • Visible to anyone on or off LinkedIn|4|text
145|0|1|0|0|1|1yr • Edited •  1 year ago • Edited • Visible to anyone on or off LinkedIn|363|Thomas Hayford reposted this
146|0|1|1|0|1|1yr •  1 year ago • Visible to anyone on or off LinkedIn|649|Thomas Hayford reposted this
147|0|1|0|0|1|1yr •  1 year ago • Visible to anyone on or off LinkedIn|1028|Thomas Hayford reposted this
148|0|1|0|0|1|1yr •  1 year ago • Visible to anyone on or off LinkedIn|838|Thomas Hayford reposted this
149|1|0|1|0|1|1yr •  1 year ago • Visible to anyone on or off LinkedIn|1564|It's a big goal, but it might be a bit of a stretch.
150|0|1|1|0|1|1yr • Edited •  1 year ago • Edited • Visible to anyone on or off LinkedIn|1540|Thomas Hayford reposted this
151|0|1|0|0|0|1yr •  1 year ago • Visible to anyone on or off LinkedIn|273|Thomas Hayford reposted this
152|0|1|0|0|1|1yr •  1 year ago • Visible to anyone on or off LinkedIn|1645|Thomas Hayford reposted this
153|0|1|0|0|1|1yr •  1 year ago • Visible to anyone on or off LinkedIn|291|Thomas Hayford reposted this
154|1|0|1|0|1|2yr •  2 years ago • Visible to anyone on or off LinkedIn|644|Isaac Korankye PGD, MBA, BAIsaac Korankye PGD, MBA, BA
155|1|0|1|0|1|2yr •  2 years ago • Visible to anyone on or off LinkedIn|310|meqasa.com (Meqasa Ltd)meqasa.com (Meqasa Ltd)
156|1|0|1|0|1|2yr •  2 years ago • Visible to anyone on or off LinkedIn|173|Jobly GhanaJobly Ghana
157|1|0|1|0|1|2yr •  2 years ago • Visible to anyone on or off LinkedIn|1374|Patience AdjeiPatience Adjei
158|1|0|1|0|1|2yr •  2 years ago • Visible to anyone on or off LinkedIn|1185|Patience AdjeiPatience Adjei
159|1|0|1|0|1|2yr •  2 years ago • Visible to anyone on or off LinkedIn|215|Vacancies in GhanaVacancies in Ghana
160|1|0|0|0|1|2yr •  2 years ago • Visible to anyone on or off LinkedIn|513|EDWARD BORDOHEDWARD BORDOH
161|1|0|1|0|1|2yr •  2 years ago • Visible to anyone on or off LinkedIn|415|Eva W. ArthurEva W. Arthur
162|0|1|1|0|0|2yr •  2 years ago • Visible to anyone on or off LinkedIn|385|Thomas Hayford reposted this
163|1|0|1|0|1|2yr •  2 years ago • Visible to anyone on or off LinkedIn|472|Patience AdjeiPatience Adjei
164|0|1|0|0|0|2yr •  2 years ago • Visible to anyone on or off LinkedIn|202|Thomas Hayford reposted this
